,Polarity,ids,date,flag,user,Tweet
250535,0,1983245832,Sun May 31 12:47:14 PDT 2009,NO_QUERY,bigred2381,@LaryLittle I know  I don't think I can get up that early oh well.
171877,0,1963376545,Fri May 29 12:37:49 PDT 2009,NO_QUERY,tracyr_9,so sleepy! boyfriend's leaving for the weekend 
74349,0,1694790596,Mon May 04 04:08:06 PDT 2009,NO_QUERY,tashahendrson,english homework 
183780,0,1967510290,Fri May 29 19:42:50 PDT 2009,NO_QUERY,jethrocarr,I really need to get a car - sick of having to do exercise to get to places 
755030,0,2288192440,Mon Jun 22 18:50:29 PDT 2009,NO_QUERY,Daisymd1322,class tomm...don't wanna go bc i can't talk to someone i really like...my heart can't take being hurt anymore.. 
533811,0,2197283809,Tue Jun 16 13:34:59 PDT 2009,NO_QUERY,flotternz,All the snows gone 
457952,0,2071745176,Sun Jun 07 19:51:45 PDT 2009,NO_QUERY,basiaa,need to study for business and do religion assignment 
207966,0,1973603740,Sat May 30 11:28:36 PDT 2009,NO_QUERY,danidocrafty,"@sandandsilk yup, I guess that'll do it. "
282616,0,1992678218,Mon Jun 01 09:08:45 PDT 2009,NO_QUERY,noeljoulu,@bbabhofficial i don't think it has  sorry we tried but the girl runs that page doesn't really care i guess
420161,0,2062147911,Sat Jun 06 22:27:18 PDT 2009,NO_QUERY,malibukarly,I want to puke 
139219,0,1880754054,Fri May 22 02:22:53 PDT 2009,NO_QUERY,aNGELdb,cant go to schols got talent tomorrow  stupid dad and his work shit
799500,0,2329004031,Thu Jun 25 10:14:17 PDT 2009,NO_QUERY,magazinemama,@kristacolvin I have that cd in my car right now. Now song in my head 
424061,0,2063010639,Sun Jun 07 01:03:18 PDT 2009,NO_QUERY,Lanaaa93,why does my twitter profile pic not work 
428964,0,2064035831,Sun Jun 07 05:00:30 PDT 2009,NO_QUERY,sv,Halp! Who knows this #G1 problem? Sms appears as popup on the startscreen but doesn't show up in the Sms app? 
556840,0,2204376809,Wed Jun 17 02:03:18 PDT 2009,NO_QUERY,Suzzzzz,"wisdom tooth not bringing me much wisdom, just lots of pain   "
370892,0,2050257061,Fri Jun 05 18:20:51 PDT 2009,NO_QUERY,dthemelis,not feeling the greatest 
274825,0,1990677621,Mon Jun 01 05:29:01 PDT 2009,NO_QUERY,lacietee,@Outofluck182 im on my phone  i cant see it! :'(
188897,0,1968974231,Fri May 29 22:41:26 PDT 2009,NO_QUERY,LydiaStack, my healthy Harold sticker in stuck in my hair.
275353,0,1990793493,Mon Jun 01 05:45:25 PDT 2009,NO_QUERY,jeorgina,@FaketragedyCom Ouch that sounds awful! Maybe you blew too hard or your cold stuffed up your sinuses 
311929,0,2001407963,Tue Jun 02 00:47:09 PDT 2009,NO_QUERY,RickyB1987,"@margueritedotm wait, you're not coming back? why? r u serious? so random. Details girl!! I don't beleive it. sad if you're not "
755322,0,2288290111,Mon Jun 22 18:58:12 PDT 2009,NO_QUERY,DAVIDXXXS,cleaning my car 
239032,0,1980538965,Sun May 31 07:01:33 PDT 2009,NO_QUERY,purexvanity,so good to see my family again. ive missed them all so much! 
253827,0,1984083739,Sun May 31 14:24:37 PDT 2009,NO_QUERY,claugamboa,@vivianin puchas 
51376,0,1678912652,Sat May 02 08:03:18 PDT 2009,NO_QUERY,emnemzxox,computer just spazzed. feeling lonely  i miss him... sadly... he probably dosen't care.
793353,0,2326606098,Thu Jun 25 07:16:04 PDT 2009,NO_QUERY,rehpinej,@RocknRollPhotog yes  my life suxxx
672200,0,2247102274,Fri Jun 19 18:35:32 PDT 2009,NO_QUERY,Runbuchelin,@hebbybya hahahahahaha atleast im not the only wierdo in the family 
599913,0,2220779512,Thu Jun 18 03:57:35 PDT 2009,NO_QUERY,Charbyy,Training in a bit  im soo tired.. my arms ache and imm soo tired 
315618,0,2002231989,Tue Jun 02 03:35:00 PDT 2009,NO_QUERY,grantorela,just got back from the store getting cough medicine again 
103840,0,1796795982,Thu May 14 10:02:54 PDT 2009,NO_QUERY,Suw,@nmeradio did you say that other day that you were now on DAB in London? I can't find you on my dial. 
308281,0,2000654658,Mon Jun 01 22:37:19 PDT 2009,NO_QUERY,jonwile,"@kathleensulli Do you have Tuesdays off like me?!?!?! Oh wait, I am the only one in DC that gets that day off "
461686,0,2174510701,Sun Jun 14 22:42:23 PDT 2009,NO_QUERY,Sivsaysthis,@Alex_OC yeah..lost all my contacts   but good thing everything is through emails now haha :p
91516,0,1759571243,Sun May 10 19:30:31 PDT 2009,NO_QUERY,_magic8ball,@YouAnswer Outlook not so good 
502029,0,2187390505,Mon Jun 15 20:12:44 PDT 2009,NO_QUERY,maryxalicexhale,About to read and listen to music..while txting! I need to clear my head...BADLY!!  
105051,0,1822827385,Sat May 16 20:28:48 PDT 2009,NO_QUERY,denifowler,Up holding Rae. She just threw up all over me &amp; has an underarm fever of 103.8!  Please pray for my sweet girl!
30243,0,1563711408,Sun Apr 19 23:56:06 PDT 2009,NO_QUERY,eunen,Fuck. How hot is it tonight?! REALLY REALLY HOT. And my brother got sick from it. 
799622,0,2329059572,Thu Jun 25 10:18:08 PDT 2009,NO_QUERY,AnaHertz,I am sorry I am so touchy right now 
483167,0,2180273438,Mon Jun 15 10:14:42 PDT 2009,NO_QUERY,AlexDScott,"@Dojie Hey come on! I still love you, we can get over you not liking dance music lol! Come on missy, don't be mad at me  xoxox"
572261,0,2209200617,Wed Jun 17 10:07:30 PDT 2009,NO_QUERY,sarah_nicole12,@ddlovato DEMI! i have to get my wisdom teeth pulled tomorrow  i'm so scared!!
368344,0,2049477939,Fri Jun 05 16:57:06 PDT 2009,NO_QUERY,Jadeee29,@lucyrose29 aww sorry that sucks  what are you using as a phone now?
27000,0,1559003410,Sun Apr 19 09:59:54 PDT 2009,NO_QUERY,LeggoMyGreggo,yeah okay it's been like 10 years since i've been on here... getting ready to move to SC! My txt setup doesn't work 
621508,0,2228834851,Thu Jun 18 14:56:50 PDT 2009,NO_QUERY,ScottNorth,Haven't seen a single Disney character all day. 
628084,0,2231145302,Thu Jun 18 18:06:19 PDT 2009,NO_QUERY,lilruby2010,i've put it off long enough i need to go clean the kitchen  i hate cleaning. getting a maid when i move out lol
58341,0,1685877596,Sun May 03 02:33:23 PDT 2009,NO_QUERY,therocketemily,I am such a heavy sleeper and lately it is not working to my advantage. 
497168,0,2185796359,Mon Jun 15 17:55:09 PDT 2009,NO_QUERY,TLC86,Is tired was woken up @ 3am 
780717,0,2323243941,Thu Jun 25 00:12:47 PDT 2009,NO_QUERY,tammyp29,"should be ironing my pants for tomorrow, but my iron just kind of makes them moist "
563968,0,2206073590,Wed Jun 17 05:57:37 PDT 2009,NO_QUERY,JoshSeawell,@Bri51NY I know how you feel. It doesn't rain until I get off work and it starts. Crazy. Can't mow can't play softball can't do anything 
555698,0,2204122814,Wed Jun 17 01:23:02 PDT 2009,NO_QUERY,_dash,Facial Treatment sucks. my face hurts. 
36461,0,1565718741,Mon Apr 20 07:24:11 PDT 2009,NO_QUERY,asbuchanan,Just ate some chicken broth as a test... We'll soon see if I can keep it down or not 
756112,0,2288557424,Mon Jun 22 19:18:58 PDT 2009,NO_QUERY,ehstefany,"Feel like shit, and don't know why. Mmm, to top it off I have work tonight. "
